system:index,date,doy,mean_ndvi,ndvi_valid_pixel_count,.geo
2021_06_10,2021-06-10,160,0.3684451352654298,477951,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_26,2021-06-26,176,0.4699422554063155,976278,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_12,2021-07-12,192,0.6422069431431155,142669,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_28,2021-07-28,208,0.66706906034242,232685,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_13,2021-08-13,224,0.7102159067951502,464469,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_29,2021-08-29,240,0.7337734594880757,215810,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_14,2021-09-14,256,0.6663107513686826,432030,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_30,2021-09-30,272,0.632154068476621,1021569,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_16,2021-10-16,288,0.620912349577756,1021752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_01,2021-11-01,304,0.5768496885821719,1021598,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_17,2021-11-17,320,0.543545263316366,1021516,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_03,2021-12-03,336,0.5576743237148868,1021863,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_19,2021-12-19,352,0.5234078986258949,1021661,"{""type"":""MultiPoint"",""coordinates"":[]}"
