district,study_year,yield_anomaly_index
Aurangabad,1997,-0.5970870970220253
Aurangabad,1998,-0.07383632986606839
Aurangabad,1999,0.10395120838346422
Aurangabad,2000,-0.49258977064816056
Aurangabad,2001,-0.3934952273268545
Aurangabad,2002,0.07087088605410603
Aurangabad,2003,-0.008490521133961515
Aurangabad,2004,-0.09492525171887634
Aurangabad,2005,0.25351893895016436
Aurangabad,2006,0.4171661072987344
Aurangabad,2007,0.8078109934734287
Aurangabad,2008,0.6711630780743371
Aurangabad,2009,0.13349976789967105
Aurangabad,2010,1.0981950531301699
Aurangabad,2011,0.7395722656611233
Aurangabad,2012,-0.5793305505953307
Aurangabad,2013,1.0351455921388524
Aurangabad,2014,-1.3976262155054957
Aurangabad,2015,-1.2415185532670336
Aurangabad,2016,0.2596538668942229
Aurangabad,2017,-0.09543055685071433
Aurangabad,2018,-1.1404989347715941
Aurangabad,2019,-0.27400517634552585
Aurangabad,2020,0.6022105822307554
Aurangabad,2021,-0.5558727273009654
Aurangabad,2022,0.021443972438019886
Bid,1997,-0.8152202340248996
Bid,1998,0.2627251296160321
Bid,1999,0.2750555465781783
Bid,2000,0.11324600515600873
Bid,2001,-0.3021876239985207
Bid,2002,0.1642231206345014
Bid,2003,-0.19300713722129362
Bid,2004,-0.06816507477454442
Bid,2005,0.48748355423473483
Bid,2006,0.2724663703554827
Bid,2007,0.19702025818034055
Bid,2008,-0.43774905054113145
Bid,2009,-0.26884492283943173
Bid,2010,0.7540316445499929
Bid,2011,0.5375695721035804
Bid,2012,-0.2183650742303631
Bid,2013,1.2971668482507017
Bid,2014,-0.8014473924238795
Bid,2015,-1.6631277111892102
Bid,2016,-0.12684329466346278
Bid,2017,-0.25015062102882796
Bid,2018,-1.2551594804147275
Bid,2019,-0.6640482164812248
Bid,2020,1.41152870858591
Bid,2021,-0.13014879691885967
Bid,2022,0.9471562614284057
Hingoli,1999,-0.42084293953426233
Hingoli,2000,-0.03305870886224719
Hingoli,2001,0.7499809729175541
Hingoli,2002,0.46652543858678575
Hingoli,2003,0.4547976056252078
Hingoli,2004,-0.578754169597705
Hingoli,2005,0.07669390483929434
Hingoli,2006,0.2975260759706225
Hingoli,2007,0.963768433199899
Hingoli,2008,-0.39192587246610217
Hingoli,2009,-0.32690051440942774
Hingoli,2010,0.3643083303350803
Hingoli,2011,0.5941728506469364
Hingoli,2012,0.46117852756963096
Hingoli,2013,0.13471103542703217
Hingoli,2014,-1.16832484195521
Hingoli,2015,-1.4444350502753027
Hingoli,2016,-0.1582118643402882
Hingoli,2017,-0.11691280086110978
Hingoli,2018,-0.17357293219459127
Hingoli,2019,-0.12622073846144932
Hingoli,2020,-0.40245756902313307
Hingoli,2021,-0.2670192216936522
Hingoli,2022,0.15578557506552398
Jalna,1997,-0.9131434378119385
Jalna,1998,0.27266262418498377
Jalna,1999,0.11138890509677792
Jalna,2000,-0.2008813502644851
Jalna,2001,-0.3132800179005411
Jalna,2002,0.3860851720108665
Jalna,2003,0.10074638205927831
Jalna,2004,-0.32451086539349056
Jalna,2005,0.262257544884899
Jalna,2006,0.1371723202494781
Jalna,2007,0.3996634538103542
Jalna,2008,-0.5470043826515287
Jalna,2009,-0.21181687124827045
Jalna,2010,0.692026093117563
Jalna,2011,0.4791671224324691
Jalna,2012,-0.4513636860486189
Jalna,2013,0.6626410301317484
Jalna,2014,-1.2437988751955973
Jalna,2015,-1.3119375582187283
Jalna,2016,0.3519713181656087
Jalna,2017,-0.8248349534556605
Jalna,2018,-0.8245981730615185
Jalna,2019,0.7327737708634702
Jalna,2020,1.2957113180400333
Jalna,2021,-0.058100871154530484
Jalna,2022,0.7315925197279883
Latur,1997,-0.741268775890945
Latur,1998,0.40540938364571577
Latur,1999,0.2293706272993758
Latur,2000,0.17022855843717
Latur,2001,-0.21733947916909369
Latur,2002,-0.01396175660202324
Latur,2003,-0.06862290418179294
Latur,2004,-0.4777330887087247
Latur,2005,0.5539055378119854
Latur,2006,-0.32362141605410744
Latur,2007,0.19362845798655154
Latur,2008,-0.3668716371261611
Latur,2009,-0.5665632770607875
Latur,2010,0.4993898178781091
Latur,2011,0.5933960827891277
Latur,2012,1.1010383190816833
Latur,2013,1.1686790523304602
Latur,2014,-0.684349017464411
Latur,2015,-1.3414677991055182
Latur,2016,0.10710999505063026
Latur,2017,-0.3146760886210659
Latur,2018,-0.6775225920628128
Latur,2019,-0.27733012554901615
Latur,2020,0.733722803456456
Latur,2021,-0.30063547474671204
Latur,2022,0.28495020695070983
Nanded,1997,-0.8510806782821619
Nanded,1998,0.3053644600920798
Nanded,1999,0.37132247725576195
Nanded,2000,-0.06035471461922256
Nanded,2001,0.3634171980894528
Nanded,2002,0.487485514078863
Nanded,2003,0.4747408364821124
Nanded,2004,-0.0433488805859891
Nanded,2005,0.08869616017549134
Nanded,2006,-0.17594290925432546
Nanded,2007,0.3646480293397683
Nanded,2008,-0.2696679404982331
Nanded,2009,-0.7710461920815669
Nanded,2010,0.5971913695232843
Nanded,2011,0.4331850649390182
Nanded,2012,0.5735540616217699
Nanded,2013,0.1460203843579718
Nanded,2014,-1.327388345809671
Nanded,2015,-1.489714187493828
Nanded,2016,-0.3018550508327668
Nanded,2017,-0.27108090864863005
Nanded,2018,-0.1369651023145836
Nanded,2019,-0.3431387254405167
Nanded,2020,0.5973003774379296
Nanded,2021,-0.054331575421706
Nanded,2022,0.4825400456563065
Osmanabad,1997,-0.8384540980682024
Osmanabad,1998,-0.16828434845877951
Osmanabad,1999,0.3250155238200387
Osmanabad,2000,0.47265558999655916
Osmanabad,2001,-0.7041398139944672
Osmanabad,2002,0.15383089892623297
Osmanabad,2003,-0.6898499285744853
Osmanabad,2004,0.2333188526130328
Osmanabad,2005,0.40914840277845893
Osmanabad,2006,0.1211559397899705
Osmanabad,2007,0.4847653190266543
Osmanabad,2008,-0.10456031767508149
Osmanabad,2009,0.13104123840528403
Osmanabad,2010,0.5099280214556745
Osmanabad,2011,0.9100085312949489
Osmanabad,2012,-0.5143447469359808
Osmanabad,2013,1.2301382957078557
Osmanabad,2014,-0.8948639243125576
Osmanabad,2015,-1.447587316410928
Osmanabad,2016,-0.1879696122911912
Osmanabad,2017,-0.09003424788883438
Osmanabad,2018,-0.9101000809706553
Osmanabad,2019,-0.4746975037959001
Osmanabad,2020,0.7712590669736422
Osmanabad,2021,0.33265518090875634
Osmanabad,2022,0.49729469138502774
Parbhani,1997,-0.5430692801225313
Parbhani,1998,0.24147030812890785
Parbhani,1999,0.5132617898547001
Parbhani,2000,0.012152929948404764
Parbhani,2001,0.38379082993935365
Parbhani,2002,0.34658206260346414
Parbhani,2003,0.3704362336839989
Parbhani,2004,-0.4352855392178673
Parbhani,2005,-0.02066972902896991
Parbhani,2006,0.1167735423339106
Parbhani,2007,0.6593844822520859
Parbhani,2008,-0.11833442796032392
Parbhani,2009,-0.3448088675841076
Parbhani,2010,0.7708030768416559
Parbhani,2011,0.6745174530490998
Parbhani,2012,-0.0034248645226381824
Parbhani,2013,0.28575825469719307
Parbhani,2014,-1.084362348573118
Parbhani,2015,-1.6002354379554269
Parbhani,2016,-0.0655079426745714
Parbhani,2017,-0.5318977653436744
Parbhani,2018,-0.564451961974165
Parbhani,2019,-0.4822651942044554
Parbhani,2020,0.16624396521735396
Parbhani,2021,0.001042298034597942
Parbhani,2022,0.5794353282077465
