district,year,rainfall_mm,climatology_mean_mm,climatology_std_mm,zscore_region_baseline,zscore_district_baseline,drought_under_region_baseline,drought_under_district_baseline,classification_changes
Latur,2015,629.1207621234499,857.6499023826233,170.0128325833538,-1.2426799548838636,-1.3441875932931722,True,True,False
Nanded,2015,768.0611836119797,1008.9913671074733,175.2196296346268,-0.36761904286500874,-1.3750182214052635,False,True,True
Osmanabad,2015,525.6730807046159,704.8983204848475,162.53556192534626,-1.8942039784818057,-1.1026832384075496,True,True,False
Aurangabad,2015,629.2438276154032,725.0548569136677,163.01918755442225,-1.2419048758933657,-0.5877285412570157,True,True,False
Bid,2015,601.874286810531,744.7266217271472,150.21146789608073,-1.4142810287915775,-0.9510081814488643,True,True,False
Hingoli,2015,760.9651065676672,960.5014023014757,180.37257245843549,-0.4123108581310559,-1.1062452179628859,False,True,True
Jalna,2015,621.8325692225307,781.2193798326057,154.2388092307656,-1.288581735363019,-1.0333768226361706,True,True,False
Parbhani,2015,686.3313454007539,899.1093051528424,168.513004087119,-0.8823618801045873,-1.2626797611541307,True,True,False
Latur,2016,964.119153469678,857.6499023826233,170.0128325833538,0.8671740006151861,0.6262424398749729,False,False,False
Nanded,2016,1160.047710789,1008.9913671074733,175.2196296346268,2.101151990760684,0.8620971519944074,False,False,False
Osmanabad,2016,764.8807681919683,704.8983204848475,162.53556192534626,-0.3876496227942899,0.3690419930050207,False,False,False
Aurangabad,2016,749.2444246112534,725.0548569136677,163.01918755442225,-0.48612890569692674,0.14838478868943147,False,False,False
Bid,2016,814.3517112762129,744.7266217271472,150.21146789608073,-0.0760765894757911,0.46351380839466744,False,False,False
Hingoli,2016,1070.3930007160836,960.5014023014757,180.37257245843549,1.5364975041635718,0.6092478302926632,False,False,False
Jalna,2016,799.4018369606135,781.2193798326057,154.2388092307656,-0.17023241909701914,0.1178850979120568,False,False,False
Parbhani,2016,994.545994111342,899.1093051528424,168.513004087119,1.0588053389722882,0.5663461373530564,False,False,False
Latur,2017,844.3372902742191,857.6499023826233,170.0128325833538,0.11277563815024143,-0.0783035721840427,False,False,False
Nanded,2017,935.9841152247868,1008.9913671074733,175.2196296346268,0.6899766669487384,-0.41666137541166665,False,False,False
Osmanabad,2017,834.9177416931119,704.8983204848475,162.53556192534626,0.05345036272727876,0.7999444531897777,False,False,False
Aurangabad,2017,724.0442621511847,725.0548569136677,163.01918755442225,-0.644842093040694,-0.006199238124319247,True,False,True
Bid,2017,765.8751361375739,744.7266217271472,150.21146789608073,-0.38138699229380724,0.14079161003244908,False,False,False
