year,doy,date,mean_sif,std_sif,valid_pixel_count,total_pixel_count,valid_pixel_fraction
2015,153,2015-06-02,0.026548065807025345,0.012506929232586578,2249,4774,0.471
2015,161,2015-06-10,0.05105642507781236,0.019146262867601557,2249,4774,0.471
2015,169,2015-06-18,0.0753514006224989,0.03368606905820356,2249,4774,0.471
2015,177,2015-06-26,0.07643468208092487,0.043312544609915266,2249,4774,0.471
2015,185,2015-07-04,0.08329857714539796,0.04711564637301151,2249,4774,0.471
2015,193,2015-07-12,0.09071009337483327,0.05208284760902237,2249,4774,0.471
2015,201,2015-07-20,0.11441258337038683,0.0635615750021885,2249,4774,0.471
2015,209,2015-07-28,0.12186147686832742,0.08115031372769645,2248,4774,0.471
2015,217,2015-08-05,0.20675193419297466,0.12001085765702264,2249,4774,0.471
2015,225,2015-08-13,0.23702343263672748,0.12092833414345276,2249,4774,0.471
2015,233,2015-08-21,0.23876496220542462,0.11604746759409712,2249,4774,0.471
2015,241,2015-08-29,0.23185606936416184,0.09922573977683957,2249,4774,0.471
2015,249,2015-09-06,0.22803579368608268,0.08905447328666162,2249,4774,0.471
2015,257,2015-09-14,0.2371042240995998,0.06485115855261414,2249,4774,0.471
2015,265,2015-09-22,0.21355326811916409,0.0609521400658215,2249,4774,0.471
2015,273,2015-09-30,0.18900742552245442,0.052467017677511774,2249,4774,0.471
2015,281,2015-10-08,0.15579399733214763,0.0453321973243852,2249,4774,0.471
2015,289,2015-10-16,0.13434166296131617,0.04225991621540339,2249,4774,0.471
2015,297,2015-10-24,0.11344966651845265,0.03594092481544606,2249,4774,0.471
2015,305,2015-11-01,0.09653308136949755,0.032984365502554326,2249,4774,0.471
2015,313,2015-11-09,0.08358683859493109,0.03025208796649869,2249,4774,0.471
2015,321,2015-11-17,0.08733103601600713,0.027163305304040215,2249,4774,0.471
2015,329,2015-11-25,0.08014508670520232,0.02568934903255354,2249,4774,0.471
2015,337,2015-12-03,0.0657069808803913,0.02424795032341281,2249,4774,0.471
2015,345,2015-12-11,0.06526180524677634,0.022597743319719556,2249,4774,0.471
2015,353,2015-12-19,0.04525504668741663,0.021223941417490358,2249,4774,0.471
2015,361,2015-12-27,0.03768719430858159,0.02020859595481919,2249,4774,0.471
2018,153,2018-06-02,0.04683588261449534,0.022600969085187477,2249,4774,0.471
2018,161,2018-06-10,0.058877901289461985,0.03364809392599916,2249,4774,0.471
2018,169,2018-06-18,0.08234650955980437,0.036265344279173634,2249,4774,0.471
2018,177,2018-06-26,0.1033380168963984,0.041650350358618984,2249,4774,0.471
2018,185,2018-07-04,0.10548750555802579,0.05060141527284608,2249,4774,0.471
2018,193,2018-07-12,0.11090346820809249,0.05240324142926136,2249,4774,0.471
2018,201,2018-07-20,0.12249221876389507,0.0784982364329896,2249,4774,0.471
2018,209,2018-07-28,0.14067874610938197,0.1011377000561043,2249,4774,0.471
2018,217,2018-08-05,0.3127999555357937,0.1015210635097339,2249,4774,0.471
2018,225,2018-08-13,0.31576256113828366,0.09406875234592046,2249,4774,0.471
2018,233,2018-08-21,0.3248242329924411,0.09573910415607273,2249,4774,0.471
2018,241,2018-08-29,0.320622943530458,0.08755155949289023,2249,4774,0.471
2018,249,2018-09-06,0.3072431747443308,0.0816733874784315,2249,4774,0.471
2018,257,2018-09-14,0.26909075144508665,0.06487294860671379,2249,4774,0.471
2018,265,2018-09-22,0.22432089817696754,0.055535133179328434,2249,4774,0.471
2018,273,2018-09-30,0.18243837261004894,0.04984584969762425,2249,4774,0.471
2018,281,2018-10-08,0.13326669630947088,0.0432446012100542,2249,4774,0.471
2018,289,2018-10-16,0.11105873721654069,0.03717400165116868,2249,4774,0.471
2018,297,2018-10-24,0.0869447309915518,0.03432299875726959,2249,4774,0.471
2018,305,2018-11-01,0.09312556691863051,0.031854166780246385,2249,4774,0.471
2018,313,2018-11-09,0.06304762116496221,0.028649329748749293,2249,4774,0.471
2018,321,2018-11-17,0.0755492218763895,0.025760054188435716,2249,4774,0.471
2018,329,2018-11-25,0.062182436638506,0.02444411395593641,2249,4774,0.471
2018,337,2018-12-03,0.0661910626945309,0.024763252784439613,2249,4774,0.471
2018,345,2018-12-11,0.05422747887950201,0.02538788885981315,2249,4774,0.471
2018,353,2018-12-19,0.04933699421965319,0.025106525045456327,2249,4774,0.471
2018,361,2018-12-27,0.03463910142348755,0.025891909460815748,2248,4774,0.471
2020,153,2020-06-01,0.04513901245551601,0.019947432346289817,2248,4774,0.471
2020,161,2020-06-09,0.06861650355871887,0.026226125880506358,2248,4774,0.471
2020,169,2020-06-17,0.10024279359430605,0.04380905776633146,2248,4774,0.471
2020,177,2020-06-25,0.1288827846975089,0.04390803041731686,2248,4774,0.471
2020,185,2020-07-03,0.15954021352313166,0.0646740175952577,2248,4774,0.471
2020,193,2020-07-11,0.22675004448398578,0.09031573182225104,2248,4774,0.471
2020,201,2020-07-19,0.327567615658363,0.11016975635173028,2248,4774,0.471
2020,209,2020-07-27,0.3795886120996441,0.11466160511279137,2248,4774,0.471
2020,217,2020-08-04,0.39488282918149464,0.11197935641046744,2248,4774,0.471
2020,225,2020-08-12,0.39791321174377225,0.1019582924847738,2248,4774,0.471
2020,233,2020-08-20,0.39885676156583627,0.09475633500550898,2248,4774,0.471
2020,241,2020-08-28,0.38788821174377225,0.08365118624258394,2248,4774,0.471
2020,249,2020-09-05,0.36484693060498224,0.07164001452379999,2248,4774,0.471
2020,257,2020-09-13,0.3397955071174377,0.06448088403527506,2248,4774,0.471
2020,265,2020-09-21,0.26805289145907474,0.05151215125108744,2248,4774,0.471
2020,273,2020-09-29,0.24839612989323842,0.04865233595359153,2248,4774,0.471
2020,281,2020-10-07,0.24011966192170817,0.04938334681439007,2248,4774,0.471
2020,289,2020-10-15,0.22364483985765124,0.051463062454699955,2248,4774,0.471
2020,297,2020-10-23,0.19530778469750892,0.04707351208410408,2248,4774,0.471
2020,305,2020-10-31,0.16432571174377228,0.04702215127780048,2248,4774,0.471
2020,313,2020-11-08,0.15454670818505337,0.04183616832678583,2248,4774,0.471
2020,321,2020-11-16,0.14638567615658366,0.03984124813349385,2248,4774,0.471
2020,329,2020-11-24,0.1277601868327402,0.03410793892412625,2248,4774,0.471
2020,337,2020-12-02,0.10461561387900356,0.030388177120352015,2248,4774,0.471
2020,345,2020-12-10,0.1109278024911032,0.028735768660487108,2248,4774,0.471
2020,353,2020-12-18,0.08895102313167261,0.02743205613109481,2248,4774,0.471
2020,361,2020-12-26,0.09519559608540924,0.028173110384815563,2248,4774,0.471
