check,parameter,n_drought_years,drought_mean_lag,normal_mean_lag,conclusion_stable
drought_threshold_sensitivity,z<-0.3,2.0,7.6,15.1,True
drought_threshold_sensitivity,z<-0.4,2.0,7.6,15.1,True
drought_threshold_sensitivity,z<-0.5,2.0,7.6,15.1,True
drought_threshold_sensitivity,z<-0.6,2.0,7.6,15.1,True
drought_threshold_sensitivity,z<-0.75,2.0,7.6,15.1,True
drought_threshold_sensitivity,z<-1.0,1.0,16.3,13.1,False
clustered_significance,plain_ols_n64,,,,True
clustered_significance,cluster_by_year_n8,,,,True
clustered_significance,cluster_by_district_n8,,,,True
clustered_significance,cluster_two_way_year_district,,,,True
temporal_merge_sensitivity,year_2015,,16.3,19.2,True
temporal_merge_sensitivity,year_2016,,23.8,28.2,True
temporal_merge_sensitivity,year_2017,,21.6,25.1,True
temporal_merge_sensitivity,year_2018,,-1.0,3.0,False
temporal_merge_sensitivity,year_2019,,17.2,21.5,True
temporal_merge_sensitivity,year_2020,,20.5,23.3,True
temporal_merge_sensitivity,year_2021,,13.1,18.4,True
temporal_merge_sensitivity,year_2022,,5.1,8.8,True
temporal_merge_sensitivity,year_2023,,4.2,8.4,True
