district,year,doy,mean_sif,valid_pixel_fraction
Latur,2015,273,0.16922991803278692,0.5545454545454546
Nanded,2015,273,0.23324223433242508,0.35980392156862745
Osmanabad,2015,273,0.13487098039215686,0.37390029325513197
Aurangabad,2015,273,0.20449942528735637,0.4773662551440329
Bid,2015,273,0.1646259640102828,0.524966261808367
Hingoli,2015,273,0.21586086956521738,0.47352941176470587
Jalna,2015,273,0.1967624060150376,0.475
Parbhani,2015,273,0.18947899543379,0.48026315789473684
Latur,2018,273,0.1728704918032787,0.5545454545454546
Nanded,2018,273,0.23698283378746596,0.35980392156862745
Osmanabad,2018,273,0.15122039215686275,0.37390029325513197
Aurangabad,2018,273,0.18081954022988506,0.4773662551440329
Bid,2018,273,0.14267043701799487,0.524966261808367
Hingoli,2018,273,0.18814596273291928,0.47352941176470587
Jalna,2018,273,0.17873120300751882,0.475
Parbhani,2018,273,0.2115598173515982,0.48026315789473684
Latur,2020,273,0.20694139344262297,0.5545454545454546
Nanded,2020,273,0.26511389645776573,0.35980392156862745
Osmanabad,2020,273,0.1942729411764706,0.37390029325513197
Aurangabad,2020,273,0.2801965417867435,0.47599451303155005
Bid,2020,273,0.24580953608247422,0.5236167341430499
Hingoli,2020,273,0.2448672839506173,0.4764705882352941
Jalna,2020,273,0.2732206766917294,0.475
Parbhani,2020,273,0.2562415525114155,0.48026315789473684
