year,is_drought_year,threshold,sif_crossing_doy,ndvi_crossing_doy,lag_days
2015,True,0.9,262.9,282.5,19.7
2015,True,0.8,270.2,286.4,16.2
2015,True,0.7,276.4,298.9,22.5
2015,True,0.6,282.6,304.7,22.1
2015,True,0.5,290.8,331.1,40.3
2018,True,0.9,251.9,254.6,2.7
2018,True,0.8,258.2,266.6,8.5
2018,True,0.7,264.7,269.4,4.8
2018,True,0.6,270.9,272.2,1.4
2018,True,0.5,276.4,284.7,8.3
2020,False,0.9,251.5,255.4,3.9
2020,False,0.8,259.5,269.1,9.6
2020,False,0.7,264.1,298.7,34.6
2020,False,0.6,277.5,316.0,38.6
2020,False,0.5,292.2,333.0,40.8
