district,year,doy,mean_sif,valid_pixel_fraction,system:index,rainfall_mm,anomaly_mm,anomaly_pct,anomaly_zscore
Latur,2015,273,0.1692299180327869,0.5545454545454546,0_00020000000000000271,629.1207621234499,-197.31025820066785,-23.874982103561983,-1.2426800836864833
Nanded,2015,273,0.233242234332425,0.3598039215686274,0_00020000000000000273,768.0611836119797,-58.36983671213807,-7.062880661140481,-0.3676191711048128
Osmanabad,2015,273,0.1348709803921568,0.3739002932551319,0_00020000000000000275,525.6730807046159,-300.7579396195018,-36.39238269414762,-1.894204107703468
Aurangabad,2015,273,0.2044994252873563,0.4773662551440329,0_00020000000000000280,629.2438276154032,-197.1871927087145,-23.860090904063565,-1.2419050046954867
Bid,2015,273,0.1646259640102828,0.524966261808367,0_00020000000000000282,601.874286810531,-224.5567335135868,-27.171866494739987,-1.414281157704566
Hingoli,2015,273,0.2158608695652173,0.4735294117647058,0_00020000000000000284,760.9651065676672,-65.4659137564505,-7.921521838661798,-0.4123109863996045
Jalna,2015,273,0.1967624060150376,0.475,0_00020000000000000285,621.8325692225307,-204.5984511015871,-24.75686972898787,-1.2885818641951612
Parbhani,2015,273,0.18947899543379,0.4802631578947368,0_00020000000000000288,686.3313454007539,-140.09967492336386,-16.95237369822084,-0.88236200867546
Latur,2016,273,0.1935963114754098,0.5545454545454546,3_00020000000000000271,964.119153469678,137.6881331455603,16.660571754864723,0.8671738731695674
Nanded,2016,273,0.2690831062670299,0.3598039215686274,3_00020000000000000273,1160.047710789,333.61669046488214,40.368364964572734,2.1011518641087266
Osmanabad,2016,273,0.1800262745098039,0.3739002932551319,3_00020000000000000275,764.8807681919683,-61.55025213214947,-7.447718033140878,-0.3876497510469771
Aurangabad,2016,273,0.294075,0.4773662551440329,3_00020000000000000280,749.2444246112534,-77.18659571286435,-9.339750543559283,-0.4861290340129531
Bid,2016,273,0.2183606683804627,0.524966261808367,3_00020000000000000282,814.3517112762129,-12.079309047904871,-1.4616233842683557,-0.0760767175280829
Hingoli,2016,273,0.2390409937888199,0.4735294117647058,3_00020000000000000284,1070.3930007160836,243.96198039196588,29.51994472524597,1.5364973771484438
Jalna,2016,273,0.2806691729323308,0.475,3_00020000000000000285,799.4018369606135,-27.029183363504217,-3.2705915797913354,-0.1702325472098694
Parbhani,2016,273,0.2571579908675799,0.4802631578947368,3_00020000000000000288,994.545994111342,168.11497378722424,20.342287456887966,1.0588052116499216
Latur,2017,273,0.2272049180327869,0.5545454545454546,4_00020000000000000271,844.3372902742191,17.90626995010132,2.166698672936873,0.1127755102194141
Nanded,2017,273,0.2614841961852861,0.3598039215686274,4_00020000000000000273,935.9841152247868,109.55309490066908,13.256169263552506,0.6899765393891513
Osmanabad,2017,273,0.1902411764705882,0.3739002932551319,4_00020000000000000275,834.9177416931119,8.486721368994154,1.0269122480017447,0.0534502347582951
