system:index,doy,mean_ndvi,valid_pixel_count,year,.geo
0,161,0.26893987009032244,725952,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,177,0.3407918800667121,948058,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,193,0.36566797806237966,800564,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,209,0.48719368905448246,284410,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,225,0.5924668756356756,530052,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,241,0.6074888586702362,851550,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,257,0.6013421850550321,1011572,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,273,0.5870076877221848,1019662,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,289,0.5171700042640875,1019644,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,305,0.4703416775188043,1019738,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,321,0.4417374128342275,1019678,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,337,0.42814741110305243,1019611,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,353,0.3865170451308507,1019588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,161,0.3032810013154776,880230,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,177,0.382681614939253,728298,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,193,0.5406551114480304,17621,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,209,0.5514330121481766,167335,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,225,0.6626120621980024,42919,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,241,0.6882376616489485,907723,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,257,0.6336223157117596,1001775,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,273,0.5237918483310494,1019624,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,289,0.46260408731383235,1019603,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,305,0.4407049771404208,1019606,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,321,0.42251267147477783,1019659,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,337,0.40474326469514316,1019703,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,353,0.3903688826130215,1019572,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,161,0.318743010492222,765713,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,177,0.43419196118992875,585634,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,193,0.6519167936843979,228526,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,209,0.7675820490606904,227439,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,225,0.7642018587879386,377637,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,241,0.7566424316992914,650788,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,257,0.7142707851758358,299075,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,273,0.6425377058027806,1006175,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,289,0.6399970453895534,1019510,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,305,0.6064027816680184,1019528,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,321,0.5582128540344037,1019265,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,337,0.5281460572984727,1019056,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,353,0.5011015099889702,1019203,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
