year,doy,mean_ndvi,valid_pixel_count,date
2015,160,0.2689538683125428,725952,2015-06-10
2015,176,0.3407968837777654,948058,2015-06-26
2015,192,0.3656735487368135,800564,2015-07-12
2015,208,0.4871983305231848,284410,2015-07-28
2015,224,0.5924671207357175,530052,2015-08-13
2015,240,0.6074870577103112,851550,2015-08-29
2015,256,0.6013449728754282,1011572,2015-09-14
2015,272,0.5870025797710132,1019662,2015-09-30
2015,288,0.5171657199638903,1019644,2015-10-16
2015,304,0.4703334429620207,1019738,2015-11-01
2015,320,0.4417297806961192,1019678,2015-11-17
2015,336,0.4281437670500956,1019611,2015-12-03
2015,352,0.3865171363114764,1019588,2015-12-19
2016,160,0.2101502803922048,977249,2016-06-09
2016,176,0.2726815825301131,21293,2016-06-25
2016,192,0.4385617588320685,318734,2016-07-11
2016,208,0.688122205314255,139589,2016-07-27
2016,224,0.6820762297187726,391240,2016-08-12
2016,240,0.6966135419350393,703375,2016-08-28
2016,256,0.6910712987179228,364943,2016-09-13
2016,272,0.6507880916056098,1020198,2016-09-29
2016,288,0.5918065239369723,1025230,2016-10-15
2016,304,0.5405110596725994,1025125,2016-10-31
2016,320,0.514083206274266,1023598,2016-11-16
2016,336,0.5003715808461838,1024463,2016-12-02
2016,352,0.4862587095777314,1023995,2016-12-18
2017,160,0.3336875956418337,840171,2017-06-10
2017,176,0.4435044223334234,238513,2017-06-26
2017,192,0.5583956312919123,48014,2017-07-12
2017,208,0.6518994524344693,129008,2017-07-28
2017,224,0.6474855011735209,190657,2017-08-13
2017,240,0.718658339870501,769699,2017-08-29
2017,256,0.6855244386655432,867077,2017-09-14
2017,272,0.6447586102131552,994244,2017-09-30
2017,288,0.6287543825061767,1025600,2017-10-16
2017,304,0.5864649865443511,1025561,2017-11-01
2017,320,0.5467357377988981,1025466,2017-11-17
2017,336,0.5219420996766431,1025489,2017-12-03
2017,352,0.4940257635234737,1025203,2017-12-19
2018,160,0.3034899172284185,880597,2018-06-10
2018,176,0.3829775664923486,728726,2018-06-26
2018,192,0.5408187972069864,17651,2018-07-12
2018,208,0.5519258447712123,167437,2018-07-28
2018,224,0.6627889756679723,43007,2018-08-13
2018,240,0.6889413829073592,909011,2018-08-29
2018,256,0.6342891500836842,1001647,2018-09-14
2018,272,0.5242624202992376,1019554,2018-09-30
2018,288,0.462999295058572,1019577,2018-10-16
2018,304,0.441005507792469,1019613,2018-11-01
2018,320,0.4227561768659781,1019621,2018-11-17
2018,336,0.4050325357568075,1019662,2018-12-03
2018,352,0.3905018158263885,1019629,2018-12-19
2019,160,0.2206081345338627,1024492,2019-06-10
2019,176,0.2650952338652206,86818,2019-06-26
2019,192,0.401611572566358,874267,2019-07-12
2019,208,0.6135243986414577,145640,2019-07-28
2019,224,0.6748615752443675,637152,2019-08-13
2019,240,0.7635100236403018,68188,2019-08-29
2019,256,0.7224267120928742,526945,2019-09-14
2019,272,0.6614662464166037,996887,2019-09-30
2019,288,0.6684718615214708,897389,2019-10-16
2019,304,0.6400645875833932,1026871,2019-11-01
2019,320,0.5953667582685402,1027552,2019-11-17
2019,336,0.5509990086627877,1026483,2019-12-03
2019,352,0.5406849729119698,995768,2019-12-19
2020,160,0.3187208621362124,770749,2020-06-09
2020,176,0.4341895889624925,589739,2020-06-25
2020,192,0.6518963405243187,230054,2020-07-11
2020,208,0.7679972883825704,228105,2020-07-27
2020,224,0.7641413994849796,381000,2020-08-12
2020,240,0.7565385166184869,656114,2020-08-28
2020,256,0.7134449613032227,300298,2020-09-13
2020,272,0.6420931314529514,1012089,2020-09-29
2020,288,0.6396621813533743,1026200,2020-10-15
2020,304,0.6060564787211878,1026210,2020-10-31
2020,320,0.5578940032337474,1026022,2020-11-16
2020,336,0.5279045547537942,1025913,2020-12-02
2020,352,0.5009877509345033,1025973,2020-12-18
2022,160,0.2981692840587105,469755,2022-06-10
2022,176,0.3680476176841865,71915,2022-06-26
2022,192,0.490364480792445,63931,2022-07-12
2022,208,0.6095014745149853,88322,2022-07-28
2022,224,0.6882531533703645,302328,2022-08-13
2022,240,0.7558031691038324,757467,2022-08-29
2022,256,0.7337992289372604,523243,2022-09-14
2022,272,0.6759361828429877,991049,2022-09-30
2022,288,0.59971708321993,1021578,2022-10-16
2022,304,0.5638365719832479,1021667,2022-11-01
2022,320,0.5083284236076951,1021632,2022-11-17
2022,336,0.5161301652622289,1020749,2022-12-03
2022,352,0.5274752258296106,1021702,2022-12-19
2023,160,0.2880279215257722,1020385,2023-06-10
2023,176,0.3409824894974651,142676,2023-06-26
2023,192,0.4653991902987489,10753,2023-07-12
2023,208,0.533052241902066,192021,2023-07-28
2023,224,0.6543814508393103,413858,2023-08-13
2023,240,0.6990583606075513,748597,2023-08-29
2023,256,0.7490922642731387,615384,2023-09-14
2023,272,0.6648493952943125,1020414,2023-09-30
2023,288,0.5631246880581012,1020415,2023-10-16
2023,304,0.5196098687131944,1020382,2023-11-01
2023,320,0.5106234582935162,1020293,2023-11-17
2023,336,0.5640642556635411,1020439,2023-12-03
2023,352,0.5498926404655665,1020364,2023-12-19
