system:index,doy,mean_ndvi,valid_pixel_count,year,.geo
0,153,0.25791477104706073,1840928,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,161,0.2582737793353059,1840311,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,169,0.1776377378177357,1840331,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,177,0.3504267713654917,1840555,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,185,0.32262213046434735,1839883,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,193,0.3649268153406285,1840622,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,201,0.21166088754632026,1840588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,209,0.3574063232109285,1839198,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,217,0.231882716363407,1839082,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,225,0.4580379273798231,1837980,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,233,0.4926315994459991,1837770,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,241,0.549353679506005,1839375,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,249,0.6064942810306131,1839494,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,257,0.574493192553173,1839969,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,265,0.6076305261648284,1840868,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,273,0.602523554459244,1840917,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,281,0.5700530942047392,1840927,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,289,0.5291690228021733,1840920,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,297,0.5092842116717219,1840923,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,305,0.482048141660127,1840983,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,153,0.2729334188098436,1839196,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,161,0.27848002709927844,1840037,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,169,0.3471272168758255,1840434,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,177,0.39151555842282937,1839329,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,185,0.3340242178837953,1839218,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,193,0.42135283797006956,1835982,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,201,0.40860419759100874,1838892,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,209,0.5519895932803387,1835916,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,217,0.4237844122847707,1840363,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,225,0.14185566320524046,1840482,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,233,0.6018429711983102,1837161,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,241,0.5782382794566915,1833196,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,249,0.6500094552692157,1836115,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,257,0.48271269329946564,1839546,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,265,0.5081242081535374,1836319,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,273,0.6544339359419988,1840840,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,281,0.4365978602422334,1837170,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,289,0.604352766268674,1838610,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,297,0.6447485673108083,1840793,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,305,0.6131781526469084,1840625,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
