system:index,district,rainfall_mm,year,.geo
0,Aurangabad,628.1442842830887,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Jalna,621.9932580218782,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Parbhani,687.116843920928,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Hingoli,761.387232957533,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Nanded,767.9318584742786,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Bid,601.5206189127247,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Latur,629.4601541288002,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Osmanabad,525.2750900123021,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Aurangabad,518.7663726958059,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Jalna,608.322614707512,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Parbhani,745.0153641812756,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Hingoli,912.3397469510687,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Nanded,946.7734762187001,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Bid,511.6449017277823,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Latur,743.7679003984792,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Osmanabad,547.4142593469223,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Aurangabad,1105.2334894814842,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Jalna,1069.6924508267434,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Parbhani,1100.5802337123223,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Hingoli,1181.1751572669777,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Nanded,1149.0108095433357,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Bid,937.8836799082977,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Latur,1052.6957128427061,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Osmanabad,1002.8439328843059,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
