system:index,rainfall_mm,year,district
0_00020000000000000271,629.1207621234499,2015,Latur
0_00020000000000000273,768.0611836119797,2015,Nanded
0_00020000000000000275,525.6730807046159,2015,Osmanabad
0_00020000000000000280,629.2438276154032,2015,Aurangabad
0_00020000000000000282,601.874286810531,2015,Bid
0_00020000000000000284,760.9651065676672,2015,Hingoli
0_00020000000000000285,621.8325692225307,2015,Jalna
0_00020000000000000288,686.3313454007539,2015,Parbhani
1_00020000000000000271,743.3211786465571,2018,Latur
1_00020000000000000273,947.550314070907,2018,Nanded
1_00020000000000000275,546.8163869193684,2018,Osmanabad
1_00020000000000000280,518.388451421809,2018,Aurangabad
1_00020000000000000282,512.5030250132357,2018,Bid
1_00020000000000000284,910.9600266830603,2018,Hingoli
1_00020000000000000285,607.8364201747554,2018,Jalna
1_00020000000000000288,744.1446316191648,2018,Parbhani
2_00020000000000000271,1051.314686293525,2020,Latur
2_00020000000000000273,1149.315879809047,2020,Nanded
2_00020000000000000275,1001.4425604571325,2020,Osmanabad
2_00020000000000000280,1106.2363557128904,2020,Aurangabad
2_00020000000000000282,939.7817569584192,2020,Bid
2_00020000000000000284,1181.2710220729036,2020,Hingoli
2_00020000000000000285,1068.672886279573,2020,Jalna
2_00020000000000000288,1099.293805851402,2020,Parbhani
3_00020000000000000271,964.1191534696779,2016,Latur
3_00020000000000000273,1160.047710789,2016,Nanded
3_00020000000000000275,764.8807681919683,2016,Osmanabad
3_00020000000000000280,749.2444246112534,2016,Aurangabad
3_00020000000000000282,814.3517112762129,2016,Bid
3_00020000000000000284,1070.3930007160836,2016,Hingoli
3_00020000000000000285,799.4018369606135,2016,Jalna
3_00020000000000000288,994.545994111342,2016,Parbhani
4_00020000000000000271,844.3372902742191,2017,Latur
4_00020000000000000273,935.9841152247868,2017,Nanded
4_00020000000000000275,834.9177416931119,2017,Osmanabad
4_00020000000000000280,724.0442621511847,2017,Aurangabad
4_00020000000000000282,765.8751361375739,2017,Bid
4_00020000000000000284,878.5013569918029,2017,Hingoli
4_00020000000000000285,771.7365412072264,2017,Jalna
4_00020000000000000288,821.9917083789805,2017,Parbhani
5_00020000000000000271,938.9160689035231,2019,Latur
5_00020000000000000273,1070.5231287137683,2019,Nanded
5_00020000000000000275,839.9209085269117,2019,Osmanabad
5_00020000000000000280,902.911079063521,2019,Aurangabad
5_00020000000000000282,900.4415151213016,2019,Bid
5_00020000000000000284,961.3912179466712,2019,Hingoli
5_00020000000000000285,914.9851380792553,2019,Jalna
5_00020000000000000288,950.4859470696567,2019,Parbhani
6_00020000000000000271,1175.9457426864421,2022,Latur
6_00020000000000000273,1409.640121399609,2022,Nanded
6_00020000000000000275,971.4053945328775,2022,Osmanabad
6_00020000000000000280,928.0329202462874,2022,Aurangabad
6_00020000000000000282,1012.3399731271292,2022,Bid
6_00020000000000000284,1384.3092691931813,2022,Hingoli
6_00020000000000000285,1058.5300025102067,2022,Jalna
6_00020000000000000288,1240.910572580189,2022,Parbhani
7_00020000000000000271,891.0674408640559,2023,Latur
7_00020000000000000273,1019.663125369143,2023,Nanded
7_00020000000000000275,671.2410953056434,2023,Osmanabad
7_00020000000000000280,694.3833280062531,2023,Aurangabad
7_00020000000000000282,687.6787017571522,2023,Bid
7_00020000000000000284,940.250130186537,2023,Hingoli
7_00020000000000000285,699.0860483777707,2023,Jalna
7_00020000000000000288,830.8906124265006,2023,Parbhani
