system:index,total_rainfall_mm,year,.geo
0,743.974176523552,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,625.6435067071722,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,666.832623625673,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,610.8833708282839,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1053.9600344177343,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1017.7499450251834,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,952.3426623495246,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,774.8034867204851,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,762.2322685201651,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1102.3813780764913,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,798.8057771381674,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,800.7600926750362,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,922.5134408072446,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,648.0063234704611,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,648.8468620342397,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,903.4080031862062,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,817.6304620150485,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,674.8458518279538,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,936.365557244394,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1066.634583289337,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
