system:index,date,ndvi_valid_pixel_count,mean_ndvi,doy
2017_06_10,2017-06-10,840171,0.3336875956418337,160
2017_06_26,2017-06-26,238513,0.44350442233342346,176
2017_07_12,2017-07-12,48014,0.5583956312919123,192
2017_07_28,2017-07-28,129008,0.6518994524344693,208
2017_08_13,2017-08-13,190657,0.6474855011735209,224
2017_08_29,2017-08-29,769699,0.718658339870501,240
2017_09_14,2017-09-14,867077,0.6855244386655432,256
2017_09_30,2017-09-30,994244,0.6447586102131552,272
2017_10_16,2017-10-16,1025600,0.6287543825061767,288
2017_11_01,2017-11-01,1025561,0.5864649865443511,304
2017_11_17,2017-11-17,1025466,0.5467357377988981,320
2017_12_03,2017-12-03,1025489,0.5219420996766431,336
2017_12_19,2017-12-19,1025203,0.49402576352347377,352
